Source Name,Sample Name,Characteristics: Organism,Factor Value: Strain,Characteristics: sex,Characteristics: Material Type,Protocol REF,Comment: plate,Comment: plate well,Protocol REF,Factor Value: Ionizing Radiation,Factor Value: Particle Charge,Factor Value: HZE,Parameter Value: ionizing radiation energy,Parameter Value: linear energy transfer,Parameter Value: absorbed radiation dose rate,Factor Value: Absorbed Radiation Dose,Factor Value: Time of Sample Collection After Treatment,Parameter Value: average fractionated dose rate,Parameter Value: exposure duration,Parameter Value: ionizing radiation source,Parameter Value: ionizing radiation facility
B6C3M3,B6C3M3_P260_D3_B6C3_MALE_2,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P260,D3,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
BALBCF,BALBCF_P234_F7_BALBC_FEMALE_1,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P234,F7,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
BALBCF1,BALBCF1_P234_A8_BALBC_FEMALE_1,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P234,A8,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
BALBCF2,BALBCF2_P234_C7_BALBC_FEMALE_1,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P234,C7,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
BALBCF,BALBCF_P260_F7_BALBC_FEMALE_2,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P260,F7,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
BALBCF1,BALBCF1_P260_A8_BALBC_FEMALE_2,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P260,A8,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
BALBCF2,BALBCF2_P260_C7_BALBC_FEMALE_2,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P260,C7,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
BALBCM1,BALBCM1_P234_C8_BALBC_MALE_1,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P234,C8,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
BALBCM2,BALBCM2_P234_C6_BALBC_MALE_1,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P234,C6,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
BALBCM3,BALBCM3_P234_D5_BALBC_MALE_1,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P234,D5,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
BALBCM1,BALBCM1_P260_C8_BALBC_MALE_2,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P260,C8,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
BALBCM2,BALBCM2_P260_C6_BALBC_MALE_2,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P260,C6,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
BALBCM3,BALBCM3_P260_D5_BALBC_MALE_2,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P260,D5,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C3HF1,C3HF1_P234_B4_C3H_FEMALE_1,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P234,B4,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C3HF2,C3HF2_P234_A4_C3H_FEMALE_1,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P234,A4,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C3HF3,C3HF3_P234_H2_C3H_FEMALE_1,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P234,H2,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C3HF1,C3HF1_P260_B4_C3H_FEMALE_2,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P260,B4,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C3HF2,C3HF2_P260_A4_C3H_FEMALE_2,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P260,A4,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C3HF3,C3HF3_P260_H2_C3H_FEMALE_2,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P260,H2,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C3HM1,C3HM1_P234_G2_C3H_MALE_1,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P234,G2,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C3HM2,C3HM2_P234_H1_C3H_MALE_1,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P234,H1,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C3HM3,C3HM3_P234_G1_C3H_MALE_1,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P234,G1,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C3HM1,C3HM1_P260_G2_C3H_MALE_2,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P260,G2,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C3HM2,C3HM2_P260_H1_C3H_MALE_2,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P260,H1,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C3HM3,C3HM3_P260_G1_C3H_MALE_2,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P260,G1,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C57BLF1,C57BLF1_P234_A6_C57_FEMALE_1,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P234,A6,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C57BLF2,C57BLF2_P234_H4_C57_FEMALE_1,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P234,H4,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C57BLF3,C57BLF3_P234_G4_C57_FEMALE_1,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P234,G4,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C57BLF1,C57BLF1_P260_A6_C57_FEMALE_2,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P260,A6,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C57BLF2,C57BLF2_P260_H4_C57_FEMALE_2,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P260,H4,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C57BLF3,C57BLF3_P260_G4_C57_FEMALE_2,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P260,G4,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C57BLM1,C57BLM1_P234_G3_C57_MALE_1,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P234,G3,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C57BLM2,C57BLM2_P234_H3_C57_MALE_1,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P234,H3,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C57BLM3,C57BLM3_P234_E4_C57_MALE_1,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P234,E4,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C57BLM1,C57BLM1_P260_G3_C57_MALE_2,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P260,G3,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C57BLM2,C57BLM2_P260_H3_C57_MALE_2,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P260,H3,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C57BLM3,C57BLM3_P260_E4_C57_MALE_2,Mus musculus,C57BL/6J,male,primary cultured fibroblast cell,growth protocol,P260,E4,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
CBAF1,CBAF1_P234_E2_CBA_FEMALE_1,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P234,E2,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
CBAF2,CBAF2_P234_F1_CBA_FEMALE_1,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P234,F1,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
CBAF3,CBAF3_P234_F2_CBA_FEMALE_1,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P234,F2,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
CBAF1,CBAF1_P260_E2_CBA_FEMALE_2,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P260,E2,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
CBAF2,CBAF2_P260_F1_CBA_FEMALE_2,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P260,F1,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
CBAF3,CBAF3_P260_F2_CBA_FEMALE_2,Mus musculus,CBA/CaJ,female,primary cultured fibroblast cell,growth protocol,P260,F2,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
CBAM1,CBAM1_P234_E1_CBA_MALE_1,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P234,E1,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
CBAM2,CBAM2_P234_C1_CBA_MALE_1,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P234,C1,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
CBAM3,CBAM3_P234_D1_CBA_MALE_1,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P234,D1,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
CBAM1,CBAM1_P260_E1_CBA_MALE_2,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P260,E1,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
CBAM2,CBAM2_P260_C1_CBA_MALE_2,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P260,C1,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
CBAM3,CBAM3_P260_D1_CBA_MALE_2,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P260,D1,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
202CC,202CC_P234_D8_CC002_FEMALE_1,Mus musculus,CC002,female,primary cultured fibroblast cell,growth protocol,P234,D8,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
202CC,202CC_P260_D8_CC002_FEMALE_2,Mus musculus,CC002,female,primary cultured fibroblast cell,growth protocol,P260,D8,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
208CC,208CC_P234_G6_CC002_MALE_1,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P234,G6,irradiation protocol,highly charged energetic nuclei,18,Ar-40 ion radiation,350 megaelectronvolt per nucleon,104 kiloelectronvolt per micron,1 gray per minute,0.18 gray,4 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
